time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.servo_left.rotational_velocity.p3.f,{bodyFMU}.body.servo_right.rotational_velocity.p3.f,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
14.829999999999728,0.01,-0.21903733221481708,0.05166836325690197,2.693322895621175,-0.1451964573803045,0.02236045265708586,0.0,1.8736207816692012,-1.2342497303720419,0.1,-0.5,254.00000000000006,45.00000000000001
14.839999999999728,0.01,0.5172541332212843,0.0516706463559114,2.6943778821710223,-0.1454222591888238,0.021895722590382125,0.0,0.8881691833018266,-2.2197733976442984,0.1,-0.5,254.00000000000006,20.000000000000004
14.849999999999728,0.01,0.5194792074169806,0.05167224928682916,2.700310003737223,-0.14557908041963674,0.021398052305539914,0.0,0.746950594296758,-2.3611969652566605,0.1,-0.5,254.00000000000006,11.000000000000002
14.859999999999728,0.01,0.4074124983404664,0.05166925552431958,2.7046225525983343,-0.14574719817036347,0.02090612433634756,0.0,0.9615099354888939,-2.1464098701207464,0.1,-0.5,254.00000000000006,11.000000000000002
14.869999999999727,0.01,0.48616984230315985,0.05167092677770648,2.709129826113741,-0.14591545431568376,0.020414540044016938,0.0,0.8434992202588192,-2.264520339746719,0.1,-0.5,255.00000000000006,7.000000000000002
14.879999999999727,0.01,0.48257444634482244,0.05167080488214837,2.714010539944143,-0.14607553047201527,0.019919462168786276,0.0,0.8409277070774628,-2.2670933627755554,0.1,-0.5,255.00000000000006,4.000000000000001
14.889999999999727,0.01,0.48812983350455713,0.05167077989312088,2.7188380194699806,-0.14623385901222907,0.019423913305662954,0.0,0.8371710642270827,-2.2708441337340135,0.1,-0.5,254.00000000000006,5.000000000000001
14.899999999999727,0.01,0.5026515015914789,0.051671021518687875,2.7237999028991005,-0.1463884781236195,0.018927019582494195,0.0,0.8146977771298447,-2.2933327896417506,0.1,-0.5,254.00000000000006,9.000000000000002
14.909999999999727,0.01,0.5099970308475917,0.0516710870666908,2.7288641562055544,-0.1465392785828763,0.01842876917388471,0.0,0.8035525008106725,-2.304482422450142,0.1,-0.5,254.00000000000006,11.000000000000002
14.919999999999726,0.01,0.5188459310213271,0.05167118872390427,2.734007017848924,-0.14668666033982303,0.017929373762647097,0.0,0.7907738160543276,-2.317266903147473,0.1,-0.5,254.00000000000006,9.000000000000002
14.929999999999726,0.01,0.5274723573642438,0.05167129339367404,2.739239728924103,-0.14683042006091013,0.017428776865982737,0.0,0.7778830756287569,-2.330164095483912,0.1,-0.5,255.00000000000006,6.000000000000002
14.939999999999726,0.01,0.5352847236554308,0.05167138010926851,2.7445537089964898,-0.14697058599854357,0.016927024488047615,0.0,0.7663274172558183,-2.341725001347239,0.1,-0.5,254.00000000000006,1.0000000000000002
