time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
16.739999999999817,0.01,0.3202365700776428,0.05166985818753378,3.3159516620947396,-0.11615752114072331,-0.13413466948624939,0.0,0.1,-0.5,255.00000000000006,135.00000000000003
16.74999999999982,0.01,0.3378806447218196,0.05167002446457165,3.3192437235124626,-0.11602699729830873,-0.13463627675834391,0.0,0.1,-0.5,255.00000000000006,148.00000000000003
16.75999999999982,0.01,0.35430076628693574,0.05167017986034173,3.3227051646207637,-0.11589267113414697,-0.13513706102286338,0.0,0.1,-0.5,254.00000000000006,161.00000000000003
16.769999999999822,0.01,0.3701689223022086,0.05167033484075861,3.326328059973394,-0.11575457787818405,-0.13563700045956376,0.0,0.1,-0.5,255.00000000000006,177.00000000000003
16.779999999999824,0.01,0.3852886010166736,0.05167048532707036,3.3301060054014524,-0.11561271742970397,-0.1361360662789416,0.0,0.1,-0.5,254.00000000000006,193.00000000000006
16.789999999999825,0.01,0.399702341045539,0.051670630778760024,3.3340315090438026,-0.1154671112802848,-0.13663423313918982,0.0,0.1,-0.5,254.00000000000006,202.00000000000006
16.799999999999827,0.01,0.4134770434043742,0.0516707716613709,3.338097947984046,-0.11531777533494197,-0.13713147429005684,0.0,0.1,-0.5,254.00000000000006,221.00000000000006
16.809999999999828,0.01,0.42662160727781745,0.05167090732006608,3.3422989630945596,-0.11516472432000846,-0.1376277624241051,0.0,0.1,-0.5,254.00000000000006,230.00000000000006
16.81999999999983,0.01,0.43916917395539606,0.051671037641604405,3.3466284095880363,-0.11500797428961496,-0.13812307023454923,0.0,0.1,-0.5,254.00000000000006,238.00000000000006
16.82999999999983,0.01,0.45114800876562183,0.05167116252596378,3.351080467908269,-0.11484754053360291,-0.13861737006323735,0.0,0.1,-0.5,254.00000000000006,254.00000000000006
16.839999999999833,0.01,0.46258250809202817,0.05167128184957639,3.355649571277866,-0.11468343827347616,-0.13911063408630445,0.0,0.1,-0.5,254.00000000000006,250.00000000000006
16.849999999999834,0.01,0.4734979398128395,0.05167139557528737,3.360330403539991,-0.1145156826874838,-0.13960283436504234,0.0,0.1,-0.5,254.00000000000006,254.00000000000006
16.859999999999836,0.01,0.4839178286727964,0.051671503689105246,3.3651178930698813,-0.11434428879691921,-0.14009394286083074,0.0,0.1,-0.5,255.00000000000006,254.00000000000006
16.869999999999838,0.01,0.493864597204769,0.05167160620564205,3.3700071971926424,-0.11416927154428058,-0.1405839314859611,0.0,0.1,-0.5,248.00000000000006,254.00000000000006
16.87999999999984,0.01,0.5033597741316974,0.05167170316926799,3.374993693237438,-0.11399064579259838,-0.1410727721337512,0.0,0.1,-0.5,245.00000000000006,254.00000000000006
16.88999999999984,0.01,0.5124238505299857,0.05167179464556083,3.3800729685727386,-0.11380842633155569,-0.14156043670624344,0.0,0.1,-0.5,231.00000000000006,254.00000000000006
16.899999999999842,0.01,0.5210763971573792,0.05167188071959689,3.3852408107996013,-0.11362262789287125,-0.14204689714073468,0.0,0.1,-0.5,214.00000000000006,255.00000000000006
16.909999999999844,0.01,0.5293361015822226,0.051671961492969175,3.39049319880076,-0.11343326515848029,-0.14253212543170485,0.0,0.1,-0.5,193.00000000000006,254.00000000000006
16.919999999999845,0.01,0.5372207982750352,0.05167203708082605,3.3958262940294355,-0.11324035276990241,-0.14301609365036605,0.0,0.1,-0.5,165.00000000000003,254.00000000000006
16.929999999999847,0.01,0.544747513507771,0.05167210760967131,3.4012364322095388,-0.11304390533730324,-0.14349877396178562,0.0,0.1,-0.5,137.00000000000003,254.00000000000006
16.93999999999985,0.01,0.5519325005378295,0.05167217321523051,3.4067201154338704,-0.11284393744760801,-0.14398013863967285,0.0,0.1,-0.5,104.00000000000003,255.00000000000006
16.94999999999985,0.01,0.5587912744130561,0.051672234040577546,3.4122740046069637,-0.11264046367232666,-0.14446016007921997,0.0,0.5,-0.1,74.00000000000001,255.00000000000006
16.95999999999985,0.01,-0.19301126344449862,0.05166702876615986,3.414540094592799,-0.11245922164502176,-0.14494603987031518,0.0,0.5,-0.1,46.00000000000001,255.00000000000006
16.969999999999853,0.01,-0.21022354479185873,0.05166895852286543,3.41177409494662,-0.1123518749644663,-0.14545249466569726,0.0,0.5,-0.1,43.00000000000001,255.00000000000006
16.979999999999855,0.01,-0.11204053748314155,0.05166820616711414,3.4104842501619617,-0.11223254564891805,-0.14595557027603373,0.0,0.5,-0.1,69.00000000000001,254.00000000000006
16.989999999999856,0.01,-0.20424491921510635,0.05166889838761461,3.4088630096296617,-0.11211314436526287,-0.1464585982974258,0.0,0.5,-0.1,84.00000000000001,254.00000000000006
16.999999999999858,0.01,-0.2134579589482884,0.05166897335792965,3.4067369360479307,-0.11200251726056787,-0.14696399233656396,0.0,0.5,-0.1,103.00000000000003,255.00000000000006
